date,jurisdiction,person,intermediary,intended_decision_maker,proposal_summary,bitcoin_reference,blockchain_reference,sovereign_backing,central_bank,sharia_compliance,commodity_backing,technical_adviser,document_bates,outcome,classification,notes
2014-01-19,Russia,Jeffrey Epstein,Thorbjorn Jagland,Vladimir Putin,"Sophisticated Russian version of Bitcoin framed as an advanced global financial instrument",yes,no,implicit,no,no,no,none,EFTA00981054,"No acknowledgment forwarding meeting or adoption located",VERIFIED,"Earliest sovereign pitch currently found; not proven first ever"
2016-10-10,Saudi network,Jeffrey Epstein,"recipient rendered as Jabor Y.","Saudi/Middle East contacts","Consider cryptocurrency like Bitcoin and Sharia with smart contracts",yes,implicit,not stated,no,yes,no,none,EFTA02448712,"No implementation located",VERIFIED,"Short precursor message"
2016-10-13,Saudi network,Jeffrey Epstein,"Raafat Alsabbagh; Aziza Alahmadi","Saudi royal/economic network","Physical Sharia currency plus Bitcoin-like Sharia-compliant digital currency",yes,implicit,not stated,no,yes,no,"Unidentified alleged Bitcoin founders; claim uncorroborated",EFTA02446989,"No implementation response located",VERIFIED_WITH_ATTRIBUTION,"Epstein alone claims he spoke with some founders of Bitcoin"
2017-01-25,Qatar,Jeffrey Epstein,"Sheikh Jabor Al Thani; Fawzi Siam","Sheikh Waleed Ben Hady / Sharia review","Blockchain currency requiring sovereign guarantee with Sharia-compliant self-executing contracts",yes,yes,yes,no,yes,no,none,EFTA01054971,"Questions calls and proposed scholar discussion; no final memo or project found",VERIFIED,"Most technically developed exchange"
2017-07-08,Mongolia,Jeffrey Epstein,Ganbat Chuluunkhuu,Khaltmaagiin Battulga,"Mongolian digital currency possibly branded Genghis Coin",yes,yes,yes,no,no,no,"Ganbat studying public blockchain material",EFTA01041151;EFTA01040718,"No memo team official response meeting or project located",VERIFIED,"Support thanks relayed from Battulga are not explained"
2017-07-08,Dubai,Jeffrey Epstein,Sultan Ahmed bin Sulayem,"Dubai ruler/government","Move Mongolia concept to Dubai because Bitcoin lacks sovereign guarantee",yes,implicit,yes,no,no,no,none,EFTA02393663,"Bin Sulayem interested; no implementation located",VERIFIED_WITH_ATTRIBUTION,"Full document text indexed; local archival API copy unavailable"
2017-07-10,Dubai,Jeffrey Epstein,Sultan Ahmed bin Sulayem,"Dubai government / DP World","Dubai-backed real digital currency with DP World proposed as issuer",implicit,implicit,yes,no,no,no,none,EFTA02393663,"Bin Sulayem agrees and proposes 80%-government-owned DP World; no later project found",VERIFIED,"Strongest affirmative country-specific response"
2017-10-03,Abu Dhabi,Jeffrey Epstein,David Stern,"MBZ (strong inference: Mohammed bin Zayed)","Request meeting on digital currency citing Dubai and Saudi contacts",no,no,implicit,no,no,no,none,EFTA02589631,"Stern later reports delegation to Khaldoon",VERIFIED_WITH_ATTRIBUTION,"Initials and first names not expanded in the document"
2017-10-05,Abu Dhabi,David Stern,David Stern,"Khaldoon (strong inference: Khaldoon Al Mubarak)","Digital-currency matter reportedly handed by MBZ to Khaldoon",no,no,implicit,no,no,no,none,EFTA00994138,"Reported discussion only; no project or ADGM connection established",STRONG_INFERENCE,"Separate numbered item concerns Leon Black and ADGM chairman Ahmed Ali Al Sayegh"
2017-10-16,Saudi Arabia,Jeffrey Epstein,Aziza Alahmadi,"Apparently Mohammed bin Salman","First wholly Sharia-compliant digital currency within broader economic proposal",no,implicit,yes,no,yes,no,none,EFTA00988621,"Draft/routed letter; delivery and adoption unproved",STRONG_INFERENCE,"Recipient field is Aziza; wording addresses a new crown prince and prior meeting"
2017-10-17,Russia,Jeffrey Epstein,Thorbjorn Jagland,Vladimir Putin,"Talk to Putin about digital currencies as the future",no,no,implicit,no,no,no,none,EFTA00986325,"No response or outcome located",VERIFIED,"Follow-up pitch three years after 2014 message"
