source_number,phrase,link
1,Israeli Ministry of Defense archive calls it a false-flag operation,https://archives.mod.gov.il/sites/English/Exhibitions/Pages/The-Lavon-affair.aspx
2,a covert military-intelligence operation against Western targets,https://modiin.ussl.co.il/%D7%A2%D7%9E%D7%95%D7%93-%D7%A4%D7%A0%D7%99%D7%9E%D7%99-2/
3,three waves,https://citeseerx.ist.psu.edu/document?doi=1227b92ec0307e14e4f4ad60886de507ede398e5&repid=rep1&type=pdf
4,*Operation Susannah*,https://books.google.com/books?id=9v_TAAAAMAAJ
5,Ian Black and Benny Morris’s history of Israeli intelligence,https://archive.org/details/israelssecretwar00blac
6,record of the Anglo-Egyptian negotiations,https://history.state.gov/historicaldocuments/frus1952-54v09p2/d1348
7,published account of the affair,https://groveatlantic.com/book/israels-secret-wars/
8,profile of Marcelle Ninio,https://www.timesofisrael.com/marcelle-ninio-israeli-spy-jailed-by-egypt-in-infamous-lavon-affair-dies-at-90/
9,telegram recording the Cairo verdicts,https://history.state.gov/historicaldocuments/frus1955-57v14/d11
10,1971 Jewish Telegraphic Agency report,https://www.jta.org/archive/six-israelis-sentenced-as-spies-in-egypt-15-years-ago-living-in-israel
11,book-length reconstruction of the command dispute,https://cup.columbia.edu/book/ben-gurions-spy/9780231104647
12,Jewish Telegraphic Agency report on the forged-document controversy,https://www.jta.org/archive/dismissal-of-officer-may-bring-new-complications-in-lavon-affair
13,National Library of Israel,https://blog.nli.org.il/en/golda-meir-and-david-ben-gurion/
14,historical analysis of the Lavon Affair,https://journals.sagepub.com/doi/10.1177/0096340213493259
15,Soviet-bloc arms through Czechoslovakia,https://history.state.gov/historicaldocuments/frus1955-57v14/d341
16,Aswan dispute and canal nationalization,https://history.state.gov/historicaldocuments/frus1955-57v15/ch2
17,Reuters report on Israel honoring the operatives,"https://www.ynetnews.com/articles/0,7340,L-3065838,00.html"
