source_number,title,date,source_type,person,organization,efta_bates,url,local_file,importance,notes
1,"Epstein to Mandelson: money/trust/internet",2008-10-03,email,"Jeffrey Epstein; Peter Mandelson",,EFTA00694617,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00694617.pdf","../sources/EFTA00694617.pdf",critical,"DOJ endpoint may present age gate; local copy obtained from archival mirror and visually checked."
2,"Epstein to Mandelson: E-life/distribute value",2008-10-07,email,"Jeffrey Epstein; Peter Mandelson",,EFTA00694620,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00694620.pdf","../sources/EFTA00694620.pdf",critical,"No visible attachment/CC/BCC."
3,"Epstein: Financial Organism/birth of a new system",2008-10-30,email,"Jeffrey Epstein; redacted recipient","banks; IRS",EFTA00694623,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00694623.pdf","../sources/EFTA00694623.pdf",critical,"Recipient unverified; about 41h10m before public Bitcoin announcement."
4,"Epstein/Mandelson continuation",2008-10-04,email,"Jeffrey Epstein; Peter Mandelson",,EFTA00748412,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00748412.pdf","../sources/EFTA00748412.pdf",high,"Frankenstein/living-system discussion; mentions gold/electronic money generally."
5,"Satoshi pre-publication correspondence with Adam Back",2008-08,"court exhibit correspondence","Satoshi Nakamoto; Adam Back",,,"https://github.com/lugaxker/nakamoto-archive",,critical,"Use exhibit-linked originals in archive; Back refers Satoshi to b-money."
6,"Satoshi pre-publication correspondence with Wei Dai",2008-08,"court exhibit correspondence","Satoshi Nakamoto; Wei Dai",,,"https://github.com/lugaxker/nakamoto-archive",,critical,"Dai supplies citation and mentions Bit Gold."
7,"COPA v Wright judgment",2024-05-20,court judgment,"Justice Mellor",,"[2024] EWHC 1198 (Ch)","https://www.bailii.org/ew/cases/EWHC/Ch/2024/1198.html",,high,"Independent legal synthesis of authentic correspondence sequence."
8,"Bitcoin white-paper public announcement",2008-10-31,mailing-list post,"Satoshi Nakamoto","metzdowd cryptography list",,"https://www.metzdowd.com/pipermail/cryptography/2008-October/014810.html",,critical,"Public announcement timestamp 18:10 UTC."
9,"Seckel introduces Brock Pierce virtual-currency work",2010-12-24,email,"Al Seckel; Jeffrey Epstein; Brock Pierce",,EFTA00901408,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00901408.pdf","../sources/EFTA00901408.pdf",critical,"Earliest pathway located into Pierce's virtual-currency world."
10,"Epstein asks for bit coin guys",2011-06-04,email,"Jeffrey Epstein; Jason Calacanis","This Week in Startups",EFTA01866591,"https://www.justice.gov/epstein/files/DataSet%209/EFTA01866591.pdf","../sources/EFTA01866591.pdf",critical,"Calacanis points to Gavin/Taaki interview."
11,"Brockman identifies Gavin",2011-06-11,email,"John Brockman; Jeffrey Epstein; Gavin Andresen",Edge,EFTA00629471,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00629471.pdf","../sources/EFTA00629471.pdf",critical,"Attempted business introduction."
12,"Gavin declines Epstein contact",2011-06-15,email,"Gavin Andresen; Epstein assistant",,EFTA00432104,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00432104.pdf","../sources/EFTA00432104.pdf",critical,"Visually checked."
