assertion_text,claim_ids,support_status,support_type,classification,source_ids,review_required,notes,assertion_type,assertion_id,content_id,text_section
Open the July 1962 police-assistance memorandum and one bureaucratic sentence changes the story: The committee recommended a dedicated AID police office.,CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-018,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-TT-SHORT-001-01,WRR-USAIDCIA-P01-TT-SHORT-001,BODY
The proposed police office would research techniques for controlling subversion and mass violence.,CLM-USAIDCIA-P01-018,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-TT-SHORT-001-02,WRR-USAIDCIA-P01-TT-SHORT-001,BODY
Read Part 1 and examine the records yourself.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-TT-SHORT-001-03,WRR-USAIDCIA-P01-TT-SHORT-001,BODY
Part 1 has the documents.,CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-018,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-TT-SHORT-001-04,WRR-USAIDCIA-P01-TT-SHORT-001,CTA
AID administered development assistance.,CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-016,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-TT-SHORT-002-01,WRR-USAIDCIA-P01-TT-SHORT-002,BODY
Yet the committee recommended that AID coordinate and lead all police-assistance programs under State policy guidance.,CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-016,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-TT-SHORT-002-02,WRR-USAIDCIA-P01-TT-SHORT-002,BODY
The committee assigned AID operating and funding responsibility except for covert aspects and selected Defense programs.,CLM-USAIDCIA-P01-016,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-TT-SHORT-002-03,WRR-USAIDCIA-P01-TT-SHORT-002,BODY
Read Part 1 and examine the records yourself.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-TT-SHORT-002-04,WRR-USAIDCIA-P01-TT-SHORT-002,BODY
Which boundary would you investigate next?,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-TT-SHORT-002-05,WRR-USAIDCIA-P01-TT-SHORT-002,CTA
John F. Kennedy did not describe police assistance as an ordinary development program.,CLM-USAIDCIA-P01-001|CLM-USAIDCIA-P01-002,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-TT-SHORT-003-01,WRR-USAIDCIA-P01-TT-SHORT-003,BODY
