claim_id,assertion_id,content_id,claim_text,assertion_text,claim_classification,support_status,support_type,source_number,source_title,source_excerpt,source_url,article_excerpt,article_section,source_file,spoiler_scope,review_required,notes
CLM-USAIDCIA-P01-017,AST-WRR-USAIDCIA-P01-TT-SHORT-001-01,WRR-USAIDCIA-P01-TT-SHORT-001,The committee recommended a dedicated AID police office.,Open the July 1962 police-assistance memorandum and one bureaucratic sentence changes the story: The committee recommended a dedicated AID police office.,STRONG_INFERENCE,INFERENCE_SUPPORTED,INFERENTIAL,4,published Foreign Relations memorandum,"That to carry out its responsibilities, AID establish an office specifically charged with police matters, staffed with sufficient qualified personnel to: (a) provide centralized professional and technical planning guidance to the country teams, police missions and State and AID regional bureaus; (b) provide professional and technical guidance and professional and technical supervision in implementing programs; (c) establish and supervise training requirements for U.S. police technicians, and standards of evaluating professional competence; (d) to conduct surveys and program evaluations; (e) to provide an essential repository of technical knowledge based on research in the latest techniques of controlling subversion and mass violence; that AID appoint a senior professional to head this office, responsible to the Special Assistant-Internal Defense with direct access to the Deputy Administrator; that while line responsibility for AID police programs remains with each regional AID bureau, sufficient professional personnel should be assigned to the new Office to provide the centralized staff support outlined above",https://history.state.gov/historicaldocuments/frus1961-63v08/d99,The institutional design is easiest to see in paragraph five. AID was ordered to establish an office specifically charged with police matters.,WHAT THE NEW OFFICE WAS BUILT TO DO,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,CURRENT_PART,YES,Synthetic language mapped to underlying claims.
CLM-USAIDCIA-P01-018,AST-WRR-USAIDCIA-P01-TT-SHORT-001-01,WRR-USAIDCIA-P01-TT-SHORT-001,The proposed police office would research techniques for controlling subversion and mass violence.,Open the July 1962 police-assistance memorandum and one bureaucratic sentence changes the story: The committee recommended a dedicated AID police office.,STRONG_INFERENCE,INFERENCE_SUPPORTED,INFERENTIAL,4,published Foreign Relations memorandum,provide an essential repository of technical knowledge based on research in the latest techniques of controlling subversion and mass violence,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,One duty stands out. The office was to become an essential repository of technical knowledge based on research into the latest techniques for controlling subversion and mass violence.,WHAT THE NEW OFFICE WAS BUILT TO DO,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,CURRENT_PART,YES,Synthetic language mapped to underlying claims.
CLM-USAIDCIA-P01-018,AST-WRR-USAIDCIA-P01-TT-SHORT-001-02,WRR-USAIDCIA-P01-TT-SHORT-001,The proposed police office would research techniques for controlling subversion and mass violence.,The proposed police office would research techniques for controlling subversion and mass violence.,DOCUMENTED_FACT,SUPPORTED,DIRECT,4,published Foreign Relations memorandum,provide an essential repository of technical knowledge based on research in the latest techniques of controlling subversion and mass violence,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,One duty stands out. The office was to become an essential repository of technical knowledge based on research into the latest techniques for controlling subversion and mass violence.,WHAT THE NEW OFFICE WAS BUILT TO DO,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,CURRENT_PART,NO,Sentence-level deterministic evidence mapping.
CLM-USAIDCIA-P01-017,AST-WRR-USAIDCIA-P01-TT-SHORT-001-04,WRR-USAIDCIA-P01-TT-SHORT-001,The committee recommended a dedicated AID police office.,Part 1 has the documents.,STRONG_INFERENCE,INFERENCE_SUPPORTED,INFERENTIAL,4,published Foreign Relations memorandum,"That to carry out its responsibilities, AID establish an office specifically charged with police matters, staffed with sufficient qualified personnel to: (a) provide centralized professional and technical planning guidance to the country teams, police missions and State and AID regional bureaus; (b) provide professional and technical guidance and professional and technical supervision in implementing programs; (c) establish and supervise training requirements for U.S. police technicians, and standards of evaluating professional competence; (d) to conduct surveys and program evaluations; (e) to provide an essential repository of technical knowledge based on research in the latest techniques of controlling subversion and mass violence; that AID appoint a senior professional to head this office, responsible to the Special Assistant-Internal Defense with direct access to the Deputy Administrator; that while line responsibility for AID police programs remains with each regional AID bureau, sufficient professional personnel should be assigned to the new Office to provide the centralized staff support outlined above",https://history.state.gov/historicaldocuments/frus1961-63v08/d99,The institutional design is easiest to see in paragraph five. AID was ordered to establish an office specifically charged with police matters.,WHAT THE NEW OFFICE WAS BUILT TO DO,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,CURRENT_PART,YES,Synthetic language mapped to underlying claims.
CLM-USAIDCIA-P01-018,AST-WRR-USAIDCIA-P01-TT-SHORT-001-04,WRR-USAIDCIA-P01-TT-SHORT-001,The proposed police office would research techniques for controlling subversion and mass violence.,Part 1 has the documents.,STRONG_INFERENCE,INFERENCE_SUPPORTED,INFERENTIAL,4,published Foreign Relations memorandum,provide an essential repository of technical knowledge based on research in the latest techniques of controlling subversion and mass violence,https://history.state.gov/historicaldocuments/frus1961-63v08/d99,One duty stands out. The office was to become an essential repository of technical knowledge based on research into the latest techniques for controlling subversion and mass violence.,WHAT THE NEW OFFICE WAS BUILT TO DO,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,CURRENT_PART,YES,Synthetic language mapped to underlying claims.
CLM-USAIDCIA-P01-015,AST-WRR-USAIDCIA-P01-TT-SHORT-002-01,WRR-USAIDCIA-P01-TT-SHORT-002,The committee recommended that AID coordinate and lead all police-assistance programs under State policy guidance.,AID administered development assistance.,STRONG_INFERENCE,INFERENCE_SUPPORTED,INFERENTIAL,4,published Foreign Relations memorandum,"subject to the general policy guidance of the Department of State in internal defense matters, the Administrator of AID be charged, in his capacity as coordinator of U.S. aid programs, with responsibility for coordination and vigorous leadership of all police assistance programs",https://history.state.gov/historicaldocuments/frus1961-63v08/d99,"The secretary of State would provide general policy guidance on internal-defense matters. AID's administrator, already the coordinator of American aid programs, would provide vigorous leadership across police-assistance programs. The Defense Department would retain programs selected for military handling. An interagency police group would help coordinate the system.",THE ARCHITECTURE TAKES SHAPE,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,CURRENT_PART,YES,Synthetic language mapped to underlying claims.
CLM-USAIDCIA-P01-016,AST-WRR-USAIDCIA-P01-TT-SHORT-002-01,WRR-USAIDCIA-P01-TT-SHORT-002,The committee assigned AID operating and funding responsibility except for covert aspects and selected Defense programs.,AID administered development assistance.,STRONG_INFERENCE,INFERENCE_SUPPORTED,INFERENTIAL,4,published Foreign Relations memorandum,"That AID be charged with operating and funding responsibility for all such programs, except for their covert aspects and for those programs which the Administrator of AID decides should be carried out by the Department of Defense",https://history.state.gov/historicaldocuments/frus1961-63v08/d99,"The third paragraph charged AID's administrator with coordination and vigorous leadership. The fourth went further: AID received operating and funding responsibility for the programs, apart from those assigned to Defense—and apart from their covert aspects.",THE ORDER WITH THE EXCEPTION,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,CURRENT_PART,YES,Synthetic language mapped to underlying claims.
CLM-USAIDCIA-P01-015,AST-WRR-USAIDCIA-P01-TT-SHORT-002-02,WRR-USAIDCIA-P01-TT-SHORT-002,The committee recommended that AID coordinate and lead all police-assistance programs under State policy guidance.,Yet the committee recommended that AID coordinate and lead all police-assistance programs under State policy guidance.,DOCUMENTED_FACT,SUPPORTED,DIRECT,4,published Foreign Relations memorandum,"subject to the general policy guidance of the Department of State in internal defense matters, the Administrator of AID be charged, in his capacity as coordinator of U.S. aid programs, with responsibility for coordination and vigorous leadership of all police assistance programs",https://history.state.gov/historicaldocuments/frus1961-63v08/d99,"The secretary of State would provide general policy guidance on internal-defense matters. AID's administrator, already the coordinator of American aid programs, would provide vigorous leadership across police-assistance programs. The Defense Department would retain programs selected for military handling. An interagency police group would help coordinate the system.",THE ARCHITECTURE TAKES SHAPE,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,CURRENT_PART,NO,Sentence-level deterministic evidence mapping.
CLM-USAIDCIA-P01-016,AST-WRR-USAIDCIA-P01-TT-SHORT-002-02,WRR-USAIDCIA-P01-TT-SHORT-002,The committee assigned AID operating and funding responsibility except for covert aspects and selected Defense programs.,Yet the committee recommended that AID coordinate and lead all police-assistance programs under State policy guidance.,DOCUMENTED_FACT,SUPPORTED,DIRECT,4,published Foreign Relations memorandum,"That AID be charged with operating and funding responsibility for all such programs, except for their covert aspects and for those programs which the Administrator of AID decides should be carried out by the Department of Defense",https://history.state.gov/historicaldocuments/frus1961-63v08/d99,"The third paragraph charged AID's administrator with coordination and vigorous leadership. The fourth went further: AID received operating and funding responsibility for the programs, apart from those assigned to Defense—and apart from their covert aspects.",THE ORDER WITH THE EXCEPTION,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,CURRENT_PART,NO,Sentence-level deterministic evidence mapping.
CLM-USAIDCIA-P01-016,AST-WRR-USAIDCIA-P01-TT-SHORT-002-03,WRR-USAIDCIA-P01-TT-SHORT-002,The committee assigned AID operating and funding responsibility except for covert aspects and selected Defense programs.,The committee assigned AID operating and funding responsibility except for covert aspects and selected Defense programs.,DOCUMENTED_FACT,SUPPORTED,DIRECT,4,published Foreign Relations memorandum,"That AID be charged with operating and funding responsibility for all such programs, except for their covert aspects and for those programs which the Administrator of AID decides should be carried out by the Department of Defense",https://history.state.gov/historicaldocuments/frus1961-63v08/d99,"The third paragraph charged AID's administrator with coordination and vigorous leadership. The fourth went further: AID received operating and funding responsibility for the programs, apart from those assigned to Defense—and apart from their covert aspects.",THE ORDER WITH THE EXCEPTION,shared_sources/source_gap_hunt/Memorandum From the Interagency Committee on Police Assistance Programs to President Kenne.extracted.txt,CURRENT_PART,NO,Sentence-level deterministic evidence mapping.
