date,introducer,person_a,person_b,purpose,contact_occurred,source,classification,notes
2010-12-24,Al Seckel,Jeffrey Epstein,Brock Pierce,"Apply Epstein financial methods to Pierce's online-gaming virtual-currency system",unclear,EFTA00901408,INTRODUCTION_LEAD,"Earliest located precursor; follow-up not found."
2011-06-04,Jason Calacanis,Jeffrey Epstein,"Gavin Andresen / Amir Taaki","Respond to request for the 'bit coin guys' by pointing to interview/visible representatives",indirect only,EFTA01866591,INFORMATION_TRANSFER,"Calacanis did not supply a completed personal introduction in the located thread."
2011-06-11,John Brockman,Jeffrey Epstein,Gavin Andresen,"Business conversation about Bitcoin",no,"EFTA00629471; EFTA00432104",INTRODUCTION,"Gavin declined on 2011-06-15."
2011-07,Amir Taaki,Jeffrey Epstein,Donald Norman,"Discuss Bitcoin group's plans and legal/regulatory exposure",yes,EFTA00656005,INTRODUCTION,"Norman reports an in-person meeting and later UK FSA feedback."
2012-03-07,Brock Pierce,"Milken panel / Epstein network","unspecified Bitcoin contact","Virtual-currency panel introduction",unknown,EFTA00672232,INTRODUCTION_REQUEST,"Pierce asks Epstein to make an intro; outcome not found."
2014-04,Austin Hill,Jeffrey Epstein,Adam Back,"St. Thomas/island gathering; purpose not stated",likely,"EFTA00987576; EFTA00987642; EFTA00988395",SHARED_EVENT,"Travel is verified; island presence rests most directly on Epstein's statement."
2014,Brock Pierce,Jeffrey Epstein,Coinbase,"Series C investment access",yes,"DOJ Coinbase file set; EFTA01121035",INTRODUCTION_AND_DEAL_FLOW,"Complete closing/knowledge chain still to be assembled."
2014,Joichi Ito,Jeffrey Epstein,Blockstream,"Investment through Kyara III",yes,"EFTA01917402; EFTA00584696; EFTA00080250",INTRODUCTION_AND_FINANCIAL_RELATIONSHIP,"Ito managed Kyara; Southern Financial contributed $500001."
2015,Joichi Ito,Jeffrey Epstein,"MIT Digital Currency Initiative","Gift-funded institutional launch/support",yes,EFTA00680068,FINANCIAL_INSTITUTIONAL_PATH,"Do not infer Epstein directed developers or code."
2010-11-04,Al Seckel,Jeffrey Epstein,Brock Pierce,"Seckel gathering including gaming virtual-currency entrepreneur",likely,EFTA00752383,SHARED_EVENT_LEAD,"Confirmed list; attendance not independently established."
2011-09-30,"unidentified intermediary / prior relationship",Jeffrey Epstein,Brock Pierce,"Virtual-currency monetary control and tax optimization discussion",yes,EFTA02007999,DIRECT_CONTACT,"First located direct Pierce-to-Epstein virtual-currency email; refers to prior discussion."
2014-08-22,Joichi Ito,Jeffrey Epstein,Anne Shere Wallwork,"MIT Bitcoin Project and virtual-currency policy call",yes,"EFTA00631425; EFTA00364133; EFTA00360763",REGULATORY_ACCESS,"Named Treasury official and scheduled call; no policy outcome inferred."
2017-01-25,Sheikh Jabor Al Thani,Jeffrey Epstein,Fawzi Siam,"Blockchain and Sharia-compliant sovereign currency questions",yes,EFTA01054971,INTRODUCTION,"Siam explicitly says Jabor supplied Epstein's address and advised contact."
2017-07-08,Ganbat Chuluunkhuu,Jeffrey Epstein,Khaltmaagiin Battulga,"Mongolian digital-currency concept",indirect,"EFTA01041151; EFTA01040718",POLITICAL_INTERMEDIARY,"No direct Battulga response on crypto and no explanation of support."
2017-07-08,Jeffrey Epstein,"Mongolia concept",Sultan Ahmed bin Sulayem,"Offer sovereign digital-currency concept to Dubai",yes,EFTA02393663,PROPOSAL_TRANSFER,"Bin Sulayem responds affirmatively and proposes DP World."
2017-10-03/05,David Stern,Jeffrey Epstein,"MBZ / Khaldoon","Abu Dhabi digital-currency meeting/delegation",reported,"EFTA02589631; EFTA00994138",POLITICAL_INTERMEDIARY,"Full identities strongly inferred; no direct principal message."
2017-10-16,Aziza Alahmadi,Jeffrey Epstein,"apparently Mohammed bin Salman","Route Sharia-compliant digital-currency letter",unknown,EFTA00988621,PROPOSAL_ROUTE,"Addressed to Aziza; intended-recipient and delivery remain unproved."
