claim_id,claim,country,date_range,people,organizations,usaid_aid_link,cia_link,narcotics_link,logistics_link,financial_link,us_endpoint_link,evidence_level,source_1,page_1,source_2,page_2,source_3,page_3,independent_sources_count,official_position,contrary_evidence,documentary_break,strongest_inference,article_value,notes
P3V2-001,CIA organized and sustained Vang Pao's Hmong force,Laos,1960s-1970s,Vang Pao; Bill Lair,CIA; Hmong army,Relief operated alongside force,Direct,Producer population overlap,Air America/strips,Indirect army sustainment,None in claim,DOCUMENTED FACT,Senate Book I,16-17,Scott AWM,116-128,McCoy,213-227,3,N/A,None material on existence of relationship,No,Core covert-war platform,High,Narcotics consequences are separate claims
P3V2-002,AID paid Air America more than $83 million in charters by 1971,Laos/SEA,to 1971,,AID; Air America; CIA,Direct financial customer,CIA proprietary,None inherent,Aircraft charters,Over $83m reported,None,CORROBORATED ACCOUNT,Marchetti/Marks,151,McCoy,222-225,,,2,N/A,Primary contracts not local,Primary invoice/contract chain,AID materially sustained CIA aviation,High,Acquire AID contracts
P3V2-003,Air America occasionally carried opium,Laos,1960s-1972,Pilots; handlers,Air America; CIA,AID customer relationship,Direct ownership,Actual occasional carriage,Aircraft/manifests,None,Regional only,DOCUMENTED FACT,Senate Book I,14-15,Marchetti/Marks,241,McCoy,"213,233-235",3,No policy/knowing U.S.-pilot role,Official inquiry narrows culpability,Specific loads/destinations,CIA-owned logistics leaked to opium movement,High,Do not call institutional trafficking policy
P3V2-004,Multiple village and official witnesses described recurring opium carriage to Long Tieng/Vientiane,Laos,late 1960s-1971,Ger Su Yang; village headmen; Ouane; Thao Ma,Hmong forces; Air America-type aircraft,USAID villages/rice/schools,CIA-backed forces,Observed/reported collection,Helicopters/aircraft,Premium purchase market,No traced U.S. load,MULTIPLE INDEPENDENT FIRSTHAND ACCOUNTS,McCoy,"213,225,233-235",Senate Book I,14,,,5+ witnesses,No knowing-pilot proof,Aircraft identity incomplete in some accounts,Manifest and U.S. continuity,Recurring collection used U.S.-supported air system,High,"Count witnesses, not later authors"
P3V2-005,CIA knew allied officials and areas were implicated in narcotics,Laos,1960s-1972,CIA case officers; Lao officers,CIA; Royal Lao/Hmong forces,Relief context,Direct,Known/suspected trafficking,Supported territory/air system,Allied revenue context,Regional/U.S. knowledge,DOCUMENTED FACT,Senate Book I,12-17,McCoy,210-235,,,2,Official admissions,Allegation quality varied by person,No complete person-by-person adjudication,Knowledge was operationally significant,High,
P3V2-006,CIA subordinated opium suppression to the Laos war,Laos,1966-1972,Unnamed case officer,CIA,Aid system remained active,Direct,Non-suppression,Continued air access,Protected allied utility,None specific,DOCUMENTED FACT,Senate Book I,"13,16-17",,,,,1 official investigation,War overriding priority,No affirmative trafficking order,Implementation/follow-up records,Preservation functionally protected the ecosystem,Very high,
P3V2-007,Buell was an IVS agricultural volunteer who became a USAID/refugee supply organizer inside CIA war logistics,Laos,1960s,Edgar Buell,IVS; USAID; CIA; Air America,Direct,Functional integration; not proved officer,Producer communities,Dispatched rice/supplies,Aid funded sustainment,None,CORROBORATED ACCOUNT,McCoy,215-223,Schanche/Lewallen/Senate refs,n.85-87,,,3 underlying clusters,N/A,Humanitarian intent/function also real,Employment/personnel records,Overt relief was operational infrastructure,Very high,
P3V2-008,Buell directly improved opium cultivation,Laos,1960s,Edgar Buell,IVS/USAID,Direct role,Indirect war context,Direct cultivation allegation,None,Potential increased output,None,CORROBORATED ACCOUNT,McCoy,216; n.85,"Schanche, Mister Pop",PDF 267 / printed 242; context PDF 142 / printed 131,,,1 underlying source chain,N/A,Schanche documents failed substitution effort and Buell refusal to fly opium,Exact interview notes or contemporaneous transcript,Potential direct aid-to-production link,High if verified,McCoy accurately represented Schanche; do not infer USAID institutional policy or knowing carriage
P3V2-009,Modern medicine reduced local opium use and raised market surplus,Laos,1960s,Buell; villagers,USAID-linked medical relief,Direct,Indirect,Opium surplus mechanism,None,Potential extra market crop,None,PLAUSIBLE CONNECTION,McCoy,216,Schanche,cited n.85,,,1,N/A,No quantitative local study,Consumption/production data,Health aid may have altered surplus,Medium,"Inference, not measurement"
P3V2-010,Rice relief and reliable prices reinforced opium specialization,Laos,1960s-1971,Village leaders; Buell,USAID; Hmong forces,Direct,War system,Opium production/market,Air-delivered rice,Premium buyers,None traced,STRONG INFERENCE,McCoy,"224,228-233",Village interviews,notes 347-349,,,Multiple village accounts,N/A,No randomized/quantitative causal study,Exact production effect,Aid altered producer incentives,High,
