claim_id,claim,classification,date,person_1,person_2,organization,efta_bates,primary_source,secondary_source,exact_quote,notes,confidence
C001,"Satoshi contacted Adam Back before Bitcoin's public announcement.",VERIFIED,2008-08-20,Satoshi Nakamoto,Adam Back,,,"COPA Back correspondence exhibit / Nakamoto archive","COPA judgment",,"Draft/reference inquiry concerning Hashcash; Back replied and pointed to b-money.",high
C002,"Satoshi contacted Wei Dai before Bitcoin's public announcement.",VERIFIED,2008-08-22,Satoshi Nakamoto,Wei Dai,,,"COPA Dai correspondence exhibit / Nakamoto archive","COPA judgment",,"Citation request; Dai provided b-money citation and mentioned Bit Gold.",high
C003,"Only Back and Dai are directly documented as Satoshi's pre-publication contacts in the located primary record.",VERIFIED,2008-08,Satoshi Nakamoto,"Adam Back; Wei Dai",,,"COPA judgment and exhibits",,,"Later recollection and Internet lore are excluded.",high
C004,"Epstein wrote Mandelson that the crisis was about money and trust and should involve internet expertise.",VERIFIED,2008-10-03,Jeffrey Epstein,Peter Mandelson,,EFTA00694617,"../sources/EFTA00694617.pdf",,"money. NOT finance, MONEY",,"high"
C005,"Epstein proposed an internet system to distribute value.",VERIFIED,2008-10-07,Jeffrey Epstein,Peter Mandelson,,EFTA00694620,"../sources/EFTA00694620.pdf",,"A new system that usess the internet to distribute value",,"high"
C006,"Epstein described a new computer-linked financial organism before the white-paper announcement.",VERIFIED,2008-10-30,Jeffrey Epstein,"recipient redacted","banks; IRS",EFTA00694623,"../sources/EFTA00694623.pdf",,"birth of a new system","About 41h10m before public announcement; recipient cannot be assigned to Mandelson.",high
C007,"The October 2008 emails contain Bitcoin's technical architecture.",CONTRADICTED,2008-10,Jeffrey Epstein,Satoshi Nakamoto,,"EFTA00694617; EFTA00694620; EFTA00694623","local PDFs",,,"No proof-of-work, cryptographic ledger, P2P consensus, double-spend solution, or issuance rule.",high
C008,"A documented human bridge joined Epstein to Satoshi's circle before 2008-10-31.",CONTRADICTED,2008-10-31,Jeffrey Epstein,Satoshi Nakamoto,,,"corpus and network searches",,,"No such bridge located; bounded by release/OCR limits.",high
C009,"Al Seckel sent Epstein a Brock Pierce virtual-currency lead.",VERIFIED,2010-12-24,Al Seckel,Jeffrey Epstein,"Brock Pierce / online gaming",EFTA00901408,"../sources/EFTA00901408.pdf",,,"Earliest Epstein-to-Bitcoin-world precursor located; not yet Bitcoin-specific.",high
C010,"Satoshi's last publicly known email to Gavin was dated 2011-04-26.",VERIFIED,2011-04-26,Satoshi Nakamoto,Gavin Andresen,Bitcoin,,"https://riski.wiki/wiki/User:Gavinandresen/Blog/2022-04-26_Eleven_years_ago_today%E2%80%A6",,"I've moved on to other things.","Last publicly known to Gavin, not provably last email to anyone.",high
C011,"In-Q-Tel invited Gavin to an intelligence-community event at CIA headquarters.",VERIFIED,2011-06-14,Gavin Andresen,,"In-Q-Tel; CIA",,"https://bitcointalk.org/index.php?topic=6652.0",,"I'm going to give a presentation about Bitcoin at CIA headquarters.","Gavin's own contemporary description; complete attendee list/slides not located.",high
C012,"Epstein asked Calacanis for the 'bit coin guys.'",VERIFIED,2011-06-04,Jeffrey Epstein,Jason Calacanis,"This Week in Startups",EFTA01866591,"../sources/EFTA01866591.pdf",,"I would like to get in touch with the bit coin guys.",,high
C013,"Brockman attempted to introduce Epstein to Gavin.",VERIFIED,2011-06-11,John Brockman,Gavin Andresen,Edge,EFTA00629471,"../sources/EFTA00629471.pdf",,"This is the guy: Gavin Andresen",,high
C014,"Gavin declined Epstein's proposed contact.",VERIFIED,2011-06-15,Gavin Andresen,"Epstein assistant",,EFTA00432104,"../sources/EFTA00432104.pdf",,"No, sorry, I'm busy.",,high
C015,"Epstein called Bitcoin brilliant and focused on legal/regulatory risk with Taaki's group.",VERIFIED,2011-06-12,Jeffrey Epstein,Amir Taaki,,EFTA00656005,"../sources/EFTA00656005.pdf",,"amir the bitcoin idea is brilliant, but i suggest has some serious downsides",,"high"
C016,"Donald Norman met Epstein after Taaki introduced him.",VERIFIED_WITH_ATTRIBUTION,2011-07,Donald Norman,Jeffrey Epstein,,EFTA00656005,"../sources/EFTA00656005.pdf",,,"Norman reports the meeting in the primary email thread.",high
C017,"Adam Back was in the April 2014 St. Thomas travel party.",VERIFIED,2014-04-17,Adam Back,Austin Hill,,"EFTA00987576; EFTA00987642","../sources/EFTA00987642.pdf",,,"Reservations and logistics name Back.",high
C018,"Adam Back was physically on Epstein's island in April 2014.",VERIFIED_WITH_ATTRIBUTION,2014-04-19,Jeffrey Epstein,Adam Back,,EFTA00988395,"../sources/EFTA00988395.pdf",,"i have Andy Back on my island this weekend","Travel records corroborate proximity; no independent visitor log/photo located.",medium-high
C019,"The subject of the Back/Epstein island interaction is known.",OPEN,2014-04,Adam Back,Jeffrey Epstein,,,"travel and follow-up threads",,,"Later Bitcoin/investment discussion does not prove meeting content.",low
C020,"Southern Financial supplied $500001 through Kyara III for Blockstream.",VERIFIED,2014-09-09,Jeffrey Epstein,Joichi Ito,"Southern Financial; Kyara III; Blockstream","EFTA00027019; EFTA00080250; EFTA00584696","../sources/EFTA00080250.pdf",,,"Wire memo and operating agreement align.",high
C021,"Epstein owned half of Blockstream.",CONTRADICTED,2014-09,Jeffrey Epstein,,Blockstream,EFTA00584696,"../sources/EFTA00584696.pdf",,,"Southern Financial had 500/1000 Kyara membership interests; Kyara was only an investment vehicle.",high
C022,"Epstein invested approximately $3 million in Coinbase via IGO LLC.",VERIFIED_WITH_ATTRIBUTION,2014-12,Jeffrey Epstein,,"IGO LLC; Coinbase",,"DOJ Coinbase term/closing/asset records","Washington Post 2026-02-03",,"Complete local closing packet remains to be assembled.",medium-high
C023,"Ito attributed DCI launch speed to gift funds associated with Epstein.",VERIFIED_WITH_ATTRIBUTION,2015-04,Joichi Ito,Jeffrey Epstein,"MIT Media Lab DCI",EFTA00680068,"DOJ/archival email record","MIT DCI official history","Used gift funds to underwrite this which allowed us to move quickly and win this round.","Does not establish Epstein control or dollar-by-dollar developer funding.",medium-high
C024,"Epstein communicated with Satoshi or knew Satoshi's identity.",CONTRADICTED,,Jeffrey Epstein,Satoshi Nakamoto,,,"corpus search",,,"No evidence located.",high
C025,"Brockman/Edge supplied a pre-Bitcoin cypherpunk bridge to Epstein.",OPEN,,John Brockman,Jeffrey Epstein,Edge,,"Edge archive and corpus searches",,,"Verified 2011 Gavin introduction; no earlier named cypherpunk bridge found.",medium
C026,"Epstein's located activity is better characterized as post-launch access seeking and financing than Bitcoin creation.",STRONG_INFERENCE,2010-2015,Jeffrey Epstein,,"Bitcoin ecosystem",,"combined evidence ledger",,,"Evidence density increases after Bitcoin succeeds.",high
C027,"Seckel included Pierce in an Epstein gathering list before the December 2010 virtual-currency pitch.",VERIFIED,2010-11-04,Al Seckel,Brock Pierce,,EFTA00752383,"../sources/EFTA00752383.pdf",,,"List establishes planned attendance; universal attendance is not independently proved.",high
C028,"Seckel disclosed a financial interest in a Pierce-Epstein collaboration.",OPEN,2010-12-24,Al Seckel,Jeffrey Epstein,,EFTA00901408,"../sources/EFTA00901408.pdf",,,"Profit language describes potential collaboration; no Seckel stake or fee is disclosed.",medium-high
C029,"A documented Seckel/Pierce follow-up before Epstein's June 2011 Bitcoin request explains that request.",OPEN,2010-12-24/2011-06-04,Jeffrey Epstein,Brock Pierce,,EFTA00901408,"../sources/EFTA00901408.pdf",,,"No pre-June follow-up found; causal connection remains plausible only.",medium-high
C030,"Pierce directly discussed virtual currency with Epstein by September 2011.",VERIFIED,2011-09-30,Brock Pierce,Jeffrey Epstein,,EFTA02007999,"../sources/EFTA02007999.pdf",,,"Pierce refers to prior brainstorming and proposes monetary control and tax optimization.",high
C031,"Donald in the July 2011 FSA thread is Intersango co-founder Donald Norman.",VERIFIED,2011-07,Donald Norman,Amir Taaki,Intersango,EFTA00656005,"../sources/EFTA00656005.pdf","USCOURTS-cand-4_16-cv-03587-4",,"Court record corroborates Norman-Taaki-Strateman Intersango roles.",high
C032,"Norman received positive detailed UK FSA feedback on the Bitcoin venture.",VERIFIED_WITH_ATTRIBUTION,2011-07-21,Donald Norman,,"UK FSA; Bitcoin Consultancy",EFTA00656005,"../sources/EFTA00656005.pdf",,,"Norman's report; no official or source document identified.",medium
C033,"Epstein had direct virtual-currency policy access to Anne Shere Wallwork at Treasury.",VERIFIED,2014-08/10,Jeffrey Epstein,Anne Shere Wallwork,"US Treasury; MIT Bitcoin Project","EFTA01854682; EFTA00631425; EFTA00364133; EFTA00360763","../sources/EFTA00364133.pdf",,,"Named official direct email plus scheduled October call and agenda.",high
C034,"Hill authored the May 2014 Bitcoin-as-commodity paper.",CONTRADICTED,2014-05-01,Austin Hill,Marshall Van Alstyne,,EFTA01926082,"../sources/EFTA01926082.pdf",,,"Hill linked Van Alstyne's published CACM essay; it was not an attachment.",high
C035,"Epstein forwarded Hill's Bitcoin-value reading to Andrew Farkas.",VERIFIED,2014-05-01,Jeffrey Epstein,Andrew Farkas,,EFTA00870319,"../sources/EFTA00870319.pdf",,,"Forward occurred within minutes; no substantive Epstein analysis visible.",high
C036,"Hill's linked paper drove Epstein's later sovereign-currency pitches.",OPEN,2014-2017,Austin Hill,Jeffrey Epstein,,EFTA01926082,"../sources/EFTA01926082.pdf",,,"No forwarding to sovereign contacts or causal reference found.",medium-high
