lead_number,williams_page,williams_claim,williams_source,person,organization,date,location,original_source_found,corroborating_sources,evidence_level,article_relevance,follow_up
1,"PDF 29-30 (printed pp. 1-2)","Paul Helliwell linked OSS Asia logistics, covert finance and postwar aviation","Cockburn and St. Clair; other endnotes",Paul Helliwell,"OSS/CIA; CAT",1940s,China/Burma,partial,"CIA histories; corporate histories",PLAUSIBLE CONNECTION,"early personnel/logistics model","trace each endnote to OSS/CIA personnel and corporate filings"
2,"PDF 30 (printed p. 2)","Hunt, Conein, Corcoran and Chennault appeared in the early aviation/intelligence ecosystem","chapter endnotes","E. Howard Hunt; Lucien Conein; Claire Chennault",CAT,1940s,Asia,partial,"official biographies; NARA Watergate",VERIFIED WITH ATTRIBUTION,"personnel ecosystem","separate common employment from joint criminal claims"
3,"PDF 79 (printed p. 51)","BNDD Operation Eagle arrested CIA-linked personnel and CIA later placed investigators inside BNDD","chapter endnotes",Santo Trafficante,"BNDD; CIA",1968-71,United States/Southeast Asia,partial,"CIA Family Jewels Project TWO-FOLD",PLAUSIBLE CONNECTION,"CIA/BNDD bridge","locate Operation Eagle case files; do not merge with TWO-FOLD without names"
4,"PDF 114 (printed p. 86)","Watergate and Chile disclosures drove Hughes-Ryan oversight","Church Committee and statute",Richard Nixon,"Congress; CIA",1974,Washington,yes,"Hughes-Ryan text; Church report",VERIFIED,"restriction/migration pattern","use primary statute/report"
5,"PDF 127 (printed p. 99)","Southeast Asian heroin moved through military/proprietary logistics and enforcement was constrained","McCoy; Levine",Michael Levine,"DEA; Air America/CIA-associated system",1970s,Laos/Vietnam/US,partial,"Part 3 official CIA/Senate research",VERIFIED WITH ATTRIBUTION,"Laos enforcement-priority pattern","retain official denial and case-specific limits"
6,"PDF 130-131 (printed pp. 102-103)","Nugan Hand employed former intelligence/military personnel including Secord and Shackley","Australian inquiries; secondary works","Richard Secord; Theodore Shackley",Nugan Hand,1970s,Australia/Asia,partial,"Australian inquiry references",PLAUSIBLE CONNECTION,"Vietnam-to-Iran-Contra finance/personnel lead","obtain inquiry exhibits and employment records"
7,"PDF 149-151 (printed pp. 121-123)","BCCI intersected with intelligence, arms and narcotics actors","Kerry/Brown BCCI report",Agha Hasan Abedi,BCCI,1970s-90s,global,yes,"Senate BCCI report",VERIFIED WITH ATTRIBUTION,"future finance rabbit hole","crosswalk Enterprise companies to BCCI accounts"
8,"PDF 151 (printed p. 123)","Kerry investigators found CIA/BCCI secrecy obstructed understanding","Senate BCCI report","William Casey; intelligence clients",BCCI,1992,Washington/global,yes,"official Senate report",VERIFIED,"shows finance/oversight problem","quote report rather than Williams"
9,"PDF 171 (printed p. 143)","Iran arms sales and Contra diversion were connected","Kornbluh/Byrne; Iran-Contra sources","Oliver North; Reagan officials",Enterprise,1985-86,Iran/Central America,yes,"Congressional report; Tower; Walsh",VERIFIED,"Act III baseline","use official investigations"
10,"PDF 195-196 (printed pp. 167-168)","BCCI/First American and Mena formed a covert-finance route","secondary journalism and Senate material",Barry Seal,"BCCI; First American",1980s,Arkansas/Washington,partial,"Senate BCCI report; CIA index metadata",PLAUSIBLE CONNECTION,"finance/logistics lead","obtain account-level evidence; avoid global laundering conclusion"
11,"PDF 229 (printed p. 201)","SETCO linked Juan Matta Ballesteros, Contra logistics and North/Secord","chapter endnotes","Juan Matta Ballesteros; Oliver North; Richard Secord",SETCO,1980s,Honduras,yes,"Kerry Committee; CIA IG",VERIFIED WITH ATTRIBUTION,"Contra narcotics/logistics","use Kerry/CIA IG exact findings"
12,"PDF 229 (printed p. 201)","Drug proceeds financed weapons for Contra operations","chapter endnotes","Contra suppliers",SETCO/Enterprise,1980s,Central America,partial,"Kerry Committee case findings",VERIFIED WITH ATTRIBUTION,"mission-priority pattern","separate specific traffickers/payments from systemic claim"
13,"PDF 114 and 151","CIA-controlled global banking claims including BCCI","multiple secondary sources",William Casey,"CIA; BCCI",1970s-80s,global,no,"Senate report shows relationship/knowledge but not sole ownership",OPEN LEAD,"tests Williams reliability","reject sole-ownership wording absent primary proof"
14,"PDF 171","P2/October Surprise chain led directly into Iran-Contra","Honegger; secondary works","Licio Gelli; George H. W. Bush",P2,1980-86,Italy/US/Iran,no,"Iran-Contra report does not establish this chain",SPECULATION_UNVERIFIED,"possible Gladio-Iran-Contra bridge","keep out of article pending primary corroboration"
